Trace
Swept SA
A.24.56,N9000B
526 AKT EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.652266666667
Start Frequency,359976614.181947
Stop Frequency,360042372.181947
Average Count,87
Average Type,LogPower(Video)
RBW,620
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,620
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
359976614.181947,-71.694587488284
359976679.939947,-71.851214529454
359976745.697947,-71.5461627916358
359976811.455947,-72.7334966111457
359976877.213947,-72.0830509580415
359976942.971947,-71.7618857635849
359977008.729947,-71.2380342593138
359977074.487947,-71.4245975099761
359977140.245947,-70.6981657620134
359977206.003947,-70.0549087085943
359977271.761947,-70.788530371655
359977337.519947,-70.6831723355699
359977403.277947,-71.2713926030302
359977469.035947,-72.0733216384361
359977534.793947,-71.4697243262981
359977600.551947,-72.3009834289551
359977666.309947,-71.7850336535223
359977732.067947,-71.3329720332705
359977797.825947,-71.4331337062792
359977863.583947,-70.8611665046078
359977929.341947,-70.7657871465574
359977995.099947,-70.7525712374984
359978060.857947,-72.1095991025026
359978126.615947,-70.8244690292183
359978192.373947,-70.191936536767
359978258.131947,-70.4272328957744
359978323.889947,-71.2217286647051
359978389.647947,-71.1830707856978
359978455.405947,-71.06486940932
359978521.163947,-69.8024337154695
359978586.921947,-70.2628454449533
359978652.679947,-69.9772933872267
359978718.437947,-70.0917151440149
359978784.195947,-70.1518230218997
359978849.953947,-70.3897608614515
359978915.711947,-70.1530700771288
359978981.469947,-70.1512280168204
359979047.227947,-70.0241342303397
359979112.985947,-70.4883588155111
359979178.743947,-70.0075962899745
359979244.501947,-70.9568439352102
359979310.259947,-71.7486983551376
359979376.017947,-70.7474273155476
359979441.775947,-69.8265942102191
359979507.533947,-70.0546069090394
359979573.291947,-70.2337260191468
359979639.049947,-70.230616909334
359979704.807947,-71.2396839185693
359979770.565947,-70.3316733261634
359979836.323947,-69.539553982088
359979902.081947,-70.2896178234583
359979967.839947,-70.7591145833333
359980033.597947,-70.6233946263105
359980099.355947,-69.7711030806619
359980165.113947,-70.3222190593851
359980230.871947,-71.2605408854869
359980296.629947,-70.2305786308201
359980362.387947,-70.4196558985217
359980428.145947,-70.1000773988921
359980493.903947,-69.5927751475367
359980559.661947,-69.997691494295
359980625.419947,-70.3542681726916
359980691.177947,-70.1335197974896
359980756.935947,-70.0211866532249
359980822.693947,-69.8324409134087
359980888.451947,-70.09879250362
359980954.209947,-69.9274056971758
359981019.967947,-69.5326186870707
359981085.725947,-69.3505078896709
359981151.483947,-70.0420522580201
359981217.241947,-69.5987556720602
359981282.999947,-69.5879464423519
359981348.757947,-70.0081663460567
359981414.515947,-70.6892843575313
359981480.273947,-70.5450651234594
359981546.031947,-69.7943941752116
359981611.789947,-69.331416996046
359981677.547947,-69.8549395155633
359981743.305947,-70.3165333627284
359981809.063947,-69.5173320112557
359981874.821947,-69.0669633711892
359981940.579947,-69.4822416634395
359982006.337947,-70.4900417547116
359982072.095947,-69.8992984815576
359982137.853947,-69.1032495608275
359982203.611947,-69.5445980203562
359982269.369947,-69.6292217736957
359982335.127947,-70.1605615725462
359982400.885947,-70.4154538560188
359982466.643947,-69.5738973946407
359982532.401947,-68.858871942279
359982598.159947,-69.4665704047543
359982663.917947,-70.0471544375365
359982729.675947,-69.7317508829051
359982795.433947,-69.3245675974879
359982861.191947,-70.3427086314936
359982926.949947,-70.2314082178576
359982992.707947,-70.0381683700386
359983058.465947,-69.8522019221865
359983124.223947,-70.353477346486
359983189.981947,-70.3870891264115
359983255.739947,-69.4080546587363
359983321.497947,-69.01570620482
359983387.255947,-68.6301852697614
359983453.013947,-69.4885792348577
359983518.771947,-69.9320473068062
359983584.529947,-69.7052391753799
359983650.287947,-70.6661592680832
359983716.045947,-70.9244066435715
