Trace
Swept SA
A.24.56,N9000B
526 AKT EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.006733333333
Start Frequency,68486940.4557852
Stop Frequency,75248582.4557852
Average Count,100
Average Type,LogPower(Video)
RBW,62000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,62000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
68486940.4557852,-78.3923925673267
68493702.0977852,-78.0475883681265
68500463.7397852,-77.9445042228202
68507225.3817852,-77.8031113817466
68513987.0237852,-78.185106511415
68520748.6657852,-78.7095908814821
68527510.3077852,-78.3268627862219
68534271.9497852,-78.6740866942834
68541033.5917852,-78.1626431529345
68547795.2337852,-78.5036754709621
68554556.8757852,-78.7934764910653
68561318.5177852,-78.3031662667399
68568080.1597852,-78.9191504796781
68574841.8017852,-78.9107378127454
68581603.4437852,-79.0201333011069
68588365.0857852,-79.5453202342514
68595126.7277852,-78.7030394593875
68601888.3697852,-78.9677597954726
68608650.0117852,-79.091870300909
68615411.6537852,-77.8227784752658
68622173.2957852,-78.1753875911208
68628934.9377852,-78.9185951391979
68635696.5797852,-78.0217266142026
68642458.2217852,-78.2250592182596
68649219.8637852,-78.3218211597557
68655981.5057852,-78.882231648209
68662743.1477852,-78.9829948082088
68669504.7897852,-78.7157024289256
68676266.4317852,-78.5765598597834
68683028.0737852,-78.4105487653033
68689789.7157852,-78.5851971638988
68696551.3577852,-78.7280035306529
68703312.9997852,-78.4718357365872
68710074.6417852,-78.2642959936744
68716836.2837852,-78.4028055429961
68723597.9257852,-78.8439238662532
68730359.5677852,-78.49743622076
68737121.2097852,-78.2008024786166
68743882.8517852,-78.3964885183509
68750644.4937852,-78.5151790647198
68757406.1357852,-78.3323303237372
68764167.7777852,-78.1934078771918
68770929.4197852,-78.6134100266411
68777691.0617852,-79.1814577471306
68784452.7037852,-78.8171678551296
68791214.3457852,-78.4583071369758
68797975.9877852,-79.097898204121
68804737.6297852,-78.7420941296224
68811499.2717852,-78.8955799923905
68818260.9137852,-78.5907416423169
68825022.5557852,-78.3848955416298
68831784.1977852,-78.1385060667225
68838545.8397852,-79.0734425144777
68845307.4817852,-79.5478286499683
68852069.1237852,-79.0813094229332
68858830.7657852,-78.9730663160359
68865592.4077852,-78.9840690938492
68872354.0497852,-78.6638406185494
68879115.6917852,-77.9726509687283
68885877.3337852,-77.5862609982519
68892638.9757852,-78.3996268071903
68899400.6177852,-78.6743817086419
68906162.2597852,-78.3769815116945
68912923.9017852,-78.8678882829454
68919685.5437852,-78.344169307037
68926447.1857852,-78.4322125797243
68933208.8277852,-78.4199431130551
68939970.4697852,-78.7447963753024
68946732.1117852,-78.4527454535405
68953493.7537852,-78.3970218842465
68960255.3957852,-78.3543709363116
68967017.0377852,-78.4922538958184
68973778.6797852,-78.3529451443449
68980540.3217852,-78.0881820992415
68987301.9637852,-78.3784046178016
68994063.6057852,-78.2569939608947
69000825.2477852,-78.9063775934884
69007586.8897852,-78.6717873332572
69014348.5317852,-78.2568519526859
69021110.1737852,-78.7479543823525
69027871.8157852,-78.5404593415872
69034633.4577852,-79.1593515951947
69041395.0997852,-78.5986245219125
69048156.7417852,-78.5301987770741
69054918.3837852,-78.0651548465699
69061680.0257852,-78.4414050443532
69068441.6677852,-78.6239297088092
69075203.3097852,-78.3280975099038
69081964.9517852,-78.3151715855594
69088726.5937852,-78.8224209409857
69095488.2357852,-78.3592592971573
69102249.8777852,-78.6079295287768
69109011.5197852,-78.1986068509236
69115773.1617852,-78.8401537024302
69122534.8037852,-79.3665592133482
69129296.4457852,-78.4389556767133
69136058.0877852,-77.8552691129818
69142819.7297852,-78.4951738545618
69149581.3717852,-78.4161999010608
69156343.0137852,-78.6758580679648
69163104.6557852,-78.9445944399687
69169866.2977852,-79.2456449813869
